"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210314"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 동구"
"읍면동 : 용전동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 동구 용전동","181-1","0181","0001","새피앙","59.4","202101","14","12,900","1","1997","홍도로 60",""
"대전광역시 동구 용전동","181-1","0181","0001","새피앙","59.4","202102","1","14,600","14","1997","홍도로 60",""
"대전광역시 동구 용전동","181-1","0181","0001","새피앙","59.4","202103","6","13,200","9","1997","홍도로 60",""
"대전광역시 동구 용전동","181-1","0181","0001","새피앙","84.82","202103","7","20,500","6","1997","홍도로46번길 20",""
"대전광역시 동구 용전동","181-1","0181","0001","새피앙","59.4","202103","11","13,400","9","1997","홍도로 60",""
"대전광역시 동구 용전동","181-1","0181","0001","새피앙","59.4","202103","12","14,400","14","1997","홍도로 60",""
"대전광역시 동구 용전동","1","0001","0000","신동아","84.56","202101","6","21,500","2","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","111.69","202101","12","24,500","6","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","67.64","202101","15","18,300","12","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","67.64","202101","22","17,400","14","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","67.64","202101","25","16,100","5","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","84.56","202101","26","24,000","10","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","84.56","202101","27","24,000","2","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","67.64","202101","31","16,500","13","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","67.64","202102","17","15,000","2","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","67.64","202102","18","17,700","15","1990","한밭대로1237번길 52","20210322"
"대전광역시 동구 용전동","1","0001","0000","신동아","84.56","202102","21","23,800","10","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","84.56","202102","23","24,000","8","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","84.56","202102","24","26,400","14","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","84.56","202102","25","26,000","8","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","111.69","202103","8","31,700","7","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","84.56","202103","11","25,500","4","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","84.56","202103","12","21,000","6","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","1","0001","0000","신동아","67.64","202103","12","17,000","9","1990","한밭대로1237번길 52",""
"대전광역시 동구 용전동","48-22","0048","0022","큰솔101동","27.07","202101","17","5,000","6","1999","계족로512번길 52",""
"대전광역시 동구 용전동","48-22","0048","0022","큰솔101동","24.2976","202102","22","5,000","7","1999","계족로512번길 52",""
"대전광역시 동구 용전동","48-22","0048","0022","큰솔101동","24.2976","202102","23","5,400","10","1999","계족로512번길 52",""
"대전광역시 동구 용전동","48-22","0048","0022","큰솔101동","30.4816","202102","25","6,950","2","1999","계족로512번길 52",""
"대전광역시 동구 용전동","48-22","0048","0022","큰솔101동","24.2976","202103","3","4,900","2","1999","계족로512번길 52",""
"대전광역시 동구 용전동","48-22","0048","0022","큰솔101동","27.07","202103","4","5,000","7","1999","계족로512번길 52",""
"대전광역시 동구 용전동","48-1","0048","0001","큰솔102동","38.0939","202101","15","6,900","1","2001","계족로512번길 42",""
"대전광역시 동구 용전동","48-1","0048","0001","큰솔102동","38.0939","202102","8","8,100","7","2001","계족로512번길 42",""
"대전광역시 동구 용전동","48-1","0048","0001","큰솔102동","38.0939","202102","18","7,000","12","2001","계족로512번길 42",""
"대전광역시 동구 용전동","48-1","0048","0001","큰솔102동","38.0939","202102","20","9,000","9","2001","계족로512번길 42",""
"대전광역시 동구 용전동","48-1","0048","0001","큰솔102동","38.0939","202103","3","8,500","5","2001","계족로512번길 42","20210410"
"대전광역시 동구 용전동","57-21","0057","0021","푸른","40.5993","202101","10","8,650","11","2000","계족로512번길 96",""
"대전광역시 동구 용전동","57-21","0057","0021","푸른","40.5993","202101","12","9,100","3","2000","계족로512번길 96",""
"대전광역시 동구 용전동","57-21","0057","0021","푸른","40.5993","202101","26","8,800","8","2000","계족로512번길 96",""
"대전광역시 동구 용전동","57-21","0057","0021","푸른","40.5993","202102","5","9,500","13","2000","계족로512번길 96",""
"대전광역시 동구 용전동","57-21","0057","0021","푸른","47.0424","202102","6","13,300","7","2000","계족로512번길 96",""
"대전광역시 동구 용전동","57-21","0057","0021","푸른","40.5993","202102","9","8,400","9","2000","계족로512번길 96",""
"대전광역시 동구 용전동","57-21","0057","0021","푸른","40.5993","202102","9","8,400","12","2000","계족로512번길 96",""
"대전광역시 동구 용전동","57-21","0057","0021","푸른","47.0424","202103","8","12,400","5","2000","계족로512번길 96",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","59.925","202101","30","21,200","4","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","114.75","202102","4","30,000","14","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","114.75","202102","7","33,500","8","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","84.94","202102","9","25,000","9","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","84.94","202102","20","28,000","6","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","84.94","202103","2","28,100","1","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","59.925","202103","4","22,000","3","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","84.94","202103","8","28,500","19","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","84.94","202103","8","27,900","7","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","84.94","202103","10","29,000","11","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","114.75","202103","13","32,500","3","1999","계족로489번길 73",""
"대전광역시 동구 용전동","194-3","0194","0003","한숲","84.94","202103","14","27,000","11","1999","계족로489번길 73",""
"대전광역시 동구 용전동","131-1","0131","0001","한울","37.251","202101","16","7,100","2","2002","계족로450번길 52",""
"대전광역시 동구 용전동","131-1","0131","0001","한울","37.251","202102","8","7,900","4","2002","계족로450번길 52",""
"대전광역시 동구 용전동","131-1","0131","0001","한울","30.221","202103","6","6,700","6","2002","계족로450번길 52",""
