"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210314"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 서구"
"읍면동 : 둔산동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 서구 둔산동","1805","1805","0000","가람","137.31","202101","8","74,700","4","1991","둔산북로 215",""
"대전광역시 서구 둔산동","1805","1805","0000","가람","137.31","202101","8","85,000","9","1991","둔산북로 215",""
"대전광역시 서구 둔산동","1805","1805","0000","가람","122.73","202101","9","75,000","4","1991","둔산북로 215",""
"대전광역시 서구 둔산동","1805","1805","0000","가람","122.73","202101","29","70,500","1","1991","둔산북로 215",""
"대전광역시 서구 둔산동","1141","1141","0000","갤러리빌","54.6225","202101","25","13,700","6","2004","계룡로491번길 8",""
"대전광역시 서구 둔산동","1141","1141","0000","갤러리빌","36.5675","202101","29","8,900","12","2004","계룡로491번길 8",""
"대전광역시 서구 둔산동","1141","1141","0000","갤러리빌","49.47","202102","9","12,500","5","2004","계룡로491번길 8",""
"대전광역시 서구 둔산동","1141","1141","0000","갤러리빌","49.47","202103","5","12,800","11","2004","계룡로491번길 8",""
"대전광역시 서구 둔산동","1141","1141","0000","갤러리빌","49.47","202103","13","14,000","12","2004","계룡로491번길 8",""
"대전광역시 서구 둔산동","977","0977","0000","겔러리빌","29.76","202102","3","7,000","7","2003","둔지로 46",""
"대전광역시 서구 둔산동","1809","1809","0000","국화동성","84.35","202101","8","43,700","3","1991","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화동성","134.06","202101","9","72,000","7","1991","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화동성","84.35","202102","5","49,000","9","1991","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화동성","84.35","202102","20","49,000","15","1991","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화라이프","114.28","202101","9","67,000","6","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화라이프","114.28","202102","8","64,700","14","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화신동아","92.35","202101","4","55,300","4","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화신동아","92.35","202101","5","59,700","10","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화신동아","77.02","202101","8","40,300","3","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화신동아","84.37","202101","13","56,700","12","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화우성","114.85","202101","9","72,800","7","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화우성","84.96","202101","16","59,000","13","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화우성","114.85","202101","18","64,000","10","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화우성","114.85","202101","20","74,800","11","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화우성","84.96","202101","22","56,000","11","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화우성","84.96","202101","28","56,000","11","1992","둔산로 201",""
"대전광역시 서구 둔산동","1809","1809","0000","국화우성","73.98","202103","1","50,500","9","1992","둔산로 201",""
"대전광역시 서구 둔산동","908-1","0908","0001","꿈나무","84.885","202101","9","47,500","9","1994","청사로 253",""
"대전광역시 서구 둔산동","908-1","0908","0001","꿈나무","84.885","202101","9","38,000","2","1994","청사로 253",""
"대전광역시 서구 둔산동","908-1","0908","0001","꿈나무","70.55","202101","23","34,650","8","1994","청사로 253",""
"대전광역시 서구 둔산동","908-1","0908","0001","꿈나무","84.885","202102","27","50,000","10","1994","청사로 253",""
"대전광역시 서구 둔산동","1118","1118","0000","나이스진","53.76","202103","10","12,800","11","2003","대덕대로175번길 50",""
