시군구,번지,본번,부번,단지명,전용면적,계약연도,계약일,거래금액,층,건축년도,도로명
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201601,11,29000,15,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201601,15,36800,9,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201601,23,33500,3,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201601,26,35750,13,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201602,5,31800,5,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201602,7,37800,13,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201602,11,26000,1,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,164.52,201602,17,37500,15,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,84.78,201603,4,22600,13,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201603,20,38500,7,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,84.78,201603,25,23500,9,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201604,4,32200,15,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,84.78,201604,9,23800,7,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,164.52,201604,20,40000,3,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201604,26,37000,6,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201605,11,32200,8,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201605,12,36000,11,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,164.52,201605,28,39700,5,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201606,9,36000,13,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201606,9,31000,6,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201606,11,37300,6,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201606,18,37000,7,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201606,22,33900,4,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201606,23,33700,5,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201606,26,33100,13,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201606,27,30000,15,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201606,28,26000,1,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,84.78,201606,30,23700,8,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201607,9,29900,2,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201607,11,32000,5,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201607,16,29700,2,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201607,16,32000,10,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201607,25,33950,14,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201608,10,37250,11,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201608,16,35000,11,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201608,18,32000,12,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201608,22,30000,2,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201608,24,33000,7,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,164.52,201608,27,39500,7,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201608,28,34000,10,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201608,30,37000,7,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201608,31,34500,4,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201609,3,28900,1,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201609,3,42500,8,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,84.78,201609,3,25400,14,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201609,10,33200,9,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201609,13,37800,6,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,84.78,201609,21,25000,15,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,164.52,201609,22,39500,15,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201609,22,32700,11,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201609,27,32000,1,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201610,1,33800,5,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201610,1,34000,11,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201610,6,37900,13,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201610,6,32000,7,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201610,15,33900,7,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201610,18,30500,2,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201610,19,28000,1,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201610,20,32450,1,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,164.52,201610,21,38000,11,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,164.52,201610,22,39500,10,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,84.78,201610,24,25000,3,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201610,25,28800,1,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201610,27,36200,8,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201610,31,37000,10,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201611,1,35700,13,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201611,3,33800,4,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201611,4,32000,3,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201611,6,37000,8,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201611,8,37500,11,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201611,14,32700,12,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201611,21,39000,9,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,164.52,201611,29,38500,6,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201612,3,33500,4,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201612,6,33500,13,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201612,6,31300,3,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201612,9,35500,7,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,122.73,201612,13,34800,13,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201612,17,32400,2,1991,둔산북로 215
대전광역시 서구 둔산동,1805,1805,0,가람,137.31,201612,20,35000,5,1991,둔산북로 215
대전광역시 서구 둔산동,1141,1141,0,갤러리빌,29.285,201601,14,7850,7,2004,계룡로491번길 8
대전광역시 서구 둔산동,1141,1141,0,갤러리빌,54.6225,201601,27,13000,6,2004,계룡로491번길 8
대전광역시 서구 둔산동,1141,1141,0,갤러리빌,42.8,201602,19,9800,10,2004,계룡로491번길 8
