시,구,동,번지,본번,부번,단지명,전용면적,계약연도,계약일,거래금액,층,건축년도,도로명,거래일자,계약연월
대전광역시,대덕구,덕암동,16469,45,2,삼부덕암마을,105.81,2016,5,20000,13,2000,덕암로234번길 15,20160905,201609
대전광역시,대덕구,법동,191-1,191,1,보람,124.87,2016,25,28500,10,1995,동춘당로 178,20160125,201601
대전광역시,대덕구,법동,191-1,191,1,보람,124.87,2016,23,27500,11,1995,동춘당로 178,20160223,201602
대전광역시,대덕구,법동,191-1,191,1,보람,124.87,2016,10,23800,4,1995,동춘당로 178,20160610,201606
대전광역시,대덕구,법동,191-1,191,1,보람,124.87,2016,4,26900,14,1995,동춘당로 178,20160804,201608
대전광역시,대덕구,법동,191-1,191,1,보람,124.87,2016,22,26800,5,1995,동춘당로 178,20160922,201609
대전광역시,대덕구,법동,191-1,191,1,보람,124.87,2016,30,25500,7,1995,동춘당로 178,20161230,201612
대전광역시,대덕구,법동,389,389,0,영진로얄,125.2,2016,30,19650,3,1990,아리랑로 211,20160430,201604
대전광역시,대덕구,법동,389,389,0,영진로얄,125.2,2016,23,21250,5,1990,아리랑로 211,20160923,201609
대전광역시,대덕구,법동,389,389,0,영진로얄,125.2,2016,24,21800,7,1990,아리랑로 211,20161124,201611
대전광역시,대덕구,법동,285-1,285,1,유원,108.89,2016,19,21500,9,1989,계족로663번길 23,20160319,201603
대전광역시,대덕구,법동,285-1,285,1,유원,108.89,2016,25,18000,5,1989,계족로663번길 23,20160325,201603
대전광역시,대덕구,비래동,509-1,509,1,비래휴플러스,124.9255,2016,13,32500,16,2006,비래서로10번길 21,20160113,201601
대전광역시,대덕구,비래동,509-1,509,1,비래휴플러스,124.9255,2016,18,31000,7,2006,비래서로10번길 21,20160318,201603
대전광역시,대덕구,비래동,509-1,509,1,비래휴플러스,124.9255,2016,6,30000,9,2006,비래서로10번길 21,20160406,201604
대전광역시,대덕구,비래동,509-1,509,1,비래휴플러스,124.9255,2016,14,30800,8,2006,비래서로10번길 21,20160514,201605
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,103.275,2016,18,26500,39,2012,대덕대로 1555,20160118,201601
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,117.388,2016,29,35000,49,2012,대덕대로 1555,20160229,201602
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,118.307,2016,10,31450,49,2012,대덕대로 1555,20160310,201603
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,103.275,2016,6,27100,31,2012,대덕대로 1555,20160406,201604
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,103.275,2016,20,26100,7,2012,대덕대로 1555,20160420,201604
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,118.307,2016,22,32800,28,2012,대덕대로 1555,20160522,201605
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,103.275,2016,13,26200,9,2012,대덕대로 1555,20160613,201606
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,117.388,2016,22,32800,47,2012,대덕대로 1555,20160622,201606
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,117.388,2016,25,31500,50,2012,대덕대로 1555,20160625,201606
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,103.275,2016,28,26300,50,2012,대덕대로 1555,20160628,201606
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,103.275,2016,30,27450,25,2012,대덕대로 1555,20160630,201606
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,118.307,2016,2,31100,9,2012,대덕대로 1555,20160702,201607
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,118.307,2016,9,32000,10,2012,대덕대로 1555,20160709,201607
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,117.388,2016,11,32250,27,2012,대덕대로 1555,20160711,201607
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,103.275,2016,14,26950,39,2012,대덕대로 1555,20160714,201607
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,118.307,2016,2,32400,19,2012,대덕대로 1555,20160802,201608
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,117.388,2016,8,32500,12,2012,대덕대로 1555,20160808,201608
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,118.307,2016,13,37750,39,2012,대덕대로 1555,20160813,201608
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,117.388,2016,29,31900,7,2012,대덕대로 1555,20160829,201608
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,117.388,2016,28,32600,11,2012,대덕대로 1555,20160928,201609
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,103.275,2016,31,26100,21,2012,대덕대로 1555,20161031,201610
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,118.307,2016,10,31500,48,2012,대덕대로 1555,20161210,201612
대전광역시,대덕구,석봉동,770,770,0,금강엑슬루타워,103.275,2016,12,26900,37,2012,대덕대로 1555,20161212,201612
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,118.09,2016,6,32000,17,1999,동춘당로114번길 60,20160106,201601
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,118.09,2016,15,33500,6,1999,동춘당로114번길 60,20160715,201607
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,118.09,2016,3,32930,14,1999,동춘당로114번길 60,20160803,201608
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,134.53,2016,25,39500,8,1999,동춘당로114번길 60,20160825,201608
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,118.09,2016,20,35200,16,1999,동춘당로114번길 60,20160920,201609
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,134.53,2016,26,39500,8,1999,동춘당로114번길 60,20160926,201609
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,134.53,2016,8,39800,8,1999,동춘당로114번길 60,20161008,201610
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,134.53,2016,21,37800,5,1999,동춘당로114번길 60,20161021,201610
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,134.53,2016,31,40500,16,1999,동춘당로114번길 60,20161031,201610
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,134.53,2016,2,30000,10,1999,동춘당로114번길 60,20161102,201611
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,118.09,2016,1,28250,1,1999,동춘당로114번길 60,20161201,201612
대전광역시,대덕구,송촌동,461-1,461,1,선비마을3단지,134.53,2016,6,45000,12,1999,동춘당로114번길 60,20161206,201612
대전광역시,대덕구,송촌동,494-1,494,1,선비마을5단지,132,2016,2,33100,19,1999,계족산로 136,20160402,201604
대전광역시,대덕구,송촌동,494-1,494,1,선비마을5단지,132,2016,6,32000,6,1999,계족산로 136,20160606,201606
대전광역시,대덕구,송촌동,494-1,494,1,선비마을5단지,132,2016,19,30000,1,1999,계족산로 136,20160819,201608
대전광역시,대덕구,송촌동,494-1,494,1,선비마을5단지,132,2016,1,29500,1,1999,계족산로 136,20160901,201609
대전광역시,대덕구,송촌동,494-1,494,1,선비마을5단지,132,2016,18,34800,5,1999,계족산로 136,20161118,201611
대전광역시,대덕구,송촌동,494-1,494,1,선비마을5단지,132,2016,15,38700,12,1999,계족산로 136,20161215,201612
대전광역시,대덕구,신탄진동,44218,22,1,새여울라이프,126.39,2016,28,23000,12,1994,대청로64번길 11,20160328,201603
대전광역시,대덕구,신탄진동,44218,22,1,새여울라이프,126.39,2016,15,24000,9,1994,대청로64번길 11,20160615,201606
대전광역시,대덕구,신탄진동,44218,22,1,새여울라이프,126.39,2016,14,19700,1,1994,대청로64번길 11,20160714,201607
대전광역시,대덕구,신탄진동,44218,22,1,새여울라이프,126.39,2016,24,25000,8,1994,대청로64번길 11,20160824,201608
대전광역시,대덕구,신탄진동,44218,22,1,새여울라이프,126.39,2016,19,20000,1,1994,대청로64번길 11,20161119,201611
대전광역시,대덕구,오정동,635-1,635,1,신동아,126.35,2016,15,22500,8,1990,한밭대로1033번길 15,20160115,201601
대전광역시,대덕구,오정동,635-1,635,1,신동아,111.69,2016,27,18800,7,1990,한밭대로1033번길 15,20160527,201605
대전광역시,대덕구,오정동,635-1,635,1,신동아,111.69,2016,6,19750,10,1990,한밭대로1033번길 15,20160606,201606
대전광역시,대덕구,오정동,635-1,635,1,신동아,126.35,2016,26,20800,8,1990,한밭대로1033번길 15,20160726,201607
대전광역시,대덕구,오정동,635-1,635,1,신동아,111.69,2016,4,20800,13,1990,한밭대로1033번길 15,20160804,201608
대전광역시,대덕구,오정동,635-1,635,1,신동아,111.69,2016,11,18700,3,1990,한밭대로1033번길 15,20160911,201609
대전광역시,대덕구,오정동,635-1,635,1,신동아,126.35,2016,9,23100,12,1990,한밭대로1033번길 15,20161109,201611
대전광역시,대덕구,오정동,635-1,635,1,신동아,126.35,2016,7,19500,6,1990,한밭대로1033번길 15,20161207,201612
대전광역시,대덕구,오정동,20210,55,5,양지마을,117.31,2016,13,19500,4,1999,대전로1185번길 30,20160113,201601
대전광역시,대덕구,오정동,20210,55,5,양지마을,117.31,2016,10,20750,6,1999,대전로1185번길 30,20160310,201603
대전광역시,대덕구,오정동,20210,55,5,양지마을,117.31,2016,12,20000,5,1999,대전로1185번길 30,20161012,201610
대전광역시,대덕구,오정동,20210,55,5,양지마을,117.31,2016,15,23500,12,1999,대전로1185번길 30,20161015,201610
대전광역시,대덕구,오정동,20210,55,5,양지마을,117.31,2016,14,19850,3,1999,대전로1185번길 30,20161214,201612
대전광역시,대덕구,평촌동,540-1,540,1,행복한마을,120.7637,2016,1,30500,13,2011,덕암로 200,20160201,201602
대전광역시,대덕구,평촌동,540-1,540,1,행복한마을,120.7637,2016,23,26500,16,2011,덕암로 200,20160523,201605
대전광역시,동구,가양동,705,705,0,아침마을,118.92,2016,5,31772,13,2011,우암로 192,20160205,201602
대전광역시,동구,가양동,705,705,0,아침마을,118.92,2016,7,33697,11,2011,우암로 192,20160407,201604
대전광역시,동구,가양동,705,705,0,아침마을,118.77,2016,14,35700,19,2011,우암로 192,20160714,201607
대전광역시,동구,가양동,705,705,0,아침마을,118.92,2016,10,38400,22,2011,우암로 192,20160910,201609
대전광역시,동구,가양동,705,705,0,아침마을,118.92,2016,19,33500,6,2011,우암로 192,20161119,201611
대전광역시,동구,가오동,496,496,0,은어송마을3단지(가오아이파크),131.6126,2016,20,35500,12,2006,은어송로 117,20160620,201606
대전광역시,동구,가오동,496,496,0,은어송마을3단지(가오아이파크),131.6126,2016,24,33500,7,2006,은어송로 117,20160624,201606
대전광역시,동구,가오동,496,496,0,은어송마을3단지(가오아이파크),131.6126,2016,4,34000,12,2006,은어송로 117,20160704,201607
대전광역시,동구,가오동,496,496,0,은어송마을3단지(가오아이파크),131.6126,2016,28,36500,10,2006,은어송로 117,20160828,201608
대전광역시,동구,가오동,496,496,0,은어송마을3단지(가오아이파크),131.6126,2016,2,34500,9,2006,은어송로 117,20160902,201609
대전광역시,동구,낭월동,723,723,0,e편한세상,122.995,2016,16,30500,18,2011,산내로 1330,20160316,201603
대전광역시,동구,낭월동,723,723,0,e편한세상,122.995,2016,25,32500,21,2011,산내로 1330,20160325,201603
대전광역시,동구,낭월동,723,723,0,e편한세상,122.995,2016,28,30000,19,2011,산내로 1330,20160628,201606
